31,3
33,1
33,12
33,12
26,7
30,1
32,4
36,3
37,3
40,3
40,4
42,12
44,14
44,15
44,18
45,17
46,5
47,12
48,15
49,7
50,7
51,6
52,15
53,18
53,18
54,19
55,12
56,9
57,8
58,8
59,6
60,10
61,13
62,14
63,15
63,15
64,16
65,16
66,16
68,13
69,10
70,9
71,8
71,7
72,4
72,4
73,3
74,15
74,15
74,15
75,16
76,16
77,16
78,9
79,4
80,3
81,3
82,5
82,6
82,8
82,14
82,14
83,15
84,15
85,16
86,12
87,9
88,4
89,5
90,7
90,9
90,9
90,3
91,4
92,6
93,7
94,9
94,16
95,9
95,16
98,18
99,18
100,19
100,15
101,19
101,15
102,19
102,15
103,5
104,5
104,5
104,5
105,13
105,12
106,14
106,14
107,18
107,18
107,18
107,18
107,18
107,18
108,17
109,15
109,17
110,13
111,13
34,10
35,3
41,3
41,4
43,1
67,17
112,10
112,10
112,10
113,15
114,15
115,19
115,19
115,19
115,19
116,19
116,19
116,19
116,19
117,15
118,15
28,1
29,1
