4,Good phone overall. Big minus battery wise.,3,9,1
6,Great phone! Would definitely recommend it to anybody.,5,1,1
12,Good for business.,4,9,3
13,One of the best phones I've ever used! Totally worth it.,5,1,12
14,Great laptop for business,5,9,5
15,"Portable laptop, good battery",4,10,5
16,Great for mobile development,5,11,5
17,Not really what I had in mind.,3,12,5
18,Apple never disappoints!,5,13,5
19,Great for work.,4,14,5
20,"Works smoothly, although I was expecting more after I saw its price.",3,15,5
21,I'm having problems after just 1 week...,1,18,5
22,Really enjoyable interface and really easy to be carried around,5,19,5
23,Good battery life,4,20,5
24,Good laptop,4,23,5
25,Great!,5,25,5
26,Great laptop! Totally recommending it,5,26,5
27,Liked everything about it,5,27,5
28,Superb!,5,30,5
29,Happy with it.,4,31,5
30,Fine laptop.,4,35,5
31,Overall a good laptop.,4,36,5
32,Overall a great laptop.,5,36,9
33,I like it,4,9,9
34,Poor battery life,3,10,9
35,Not as good as my DELL Ultrabook,2,11,9
36,Fantastic,5,12,9
37,Works well.,4,13,9
38,Good for gaming,5,14,9
39,CS:GO running smoothly on it.,5,15,9
40,Pretty good.,4,17,9
42,Crashed after 2 weeks.,1,18,9
43,Battery could be better.,3,19,9
44,No problems. Good laptop.,5,20,9
45,Not bad for its price.,4,21,9
46,Has a lot to offer for its price.,4,22,9
47,Best laptop for this price range.,5,24,9
48,Just wow!,5,25,9
49,Happy about it.,4,27,9
50,Could be faster but overall a good laptop.,4,28,9
51,Quality at a good price.,4,30,9
52,"So far, so good after 2 weeks.",4,31,9
53,"Perfect for me, I use it for gaming.",5,35,9
54,Great for gaming.,5,36,9
55,Great performances!,5,36,6
56,Great graphics!,5,35,6
57,"Too expensive, but does its job.",3,34,6
58,Great graphics card.,5,33,6
59,Best buy for this price.,5,32,6
60,Good for gaming and video editing.,4,31,6
61,Wow best card ever. No comparison with the other cards.,5,30,6
62,"I own three of these cards already, there was no way that this was going to fool me. The cooler and plastics on this thing, looks like an MSI Seahawk design. As soon as you take it out of the packaging, it was obvious that it was not the right product.",1,29,6
63,Too expensive,3,28,6
64,"Card performs very well and can play anything it throw at it on ultra 1440p with high frame rates, but does struggle a bit with 4K ultra. Ray tracing looks amazing, DLSS really depends on the titles. Unfortenately very loud even at 70%.",4,27,6
65,Way too much for old hardware. What are you going to do next month when you can get a card that out performs this card for $499?,1,26,6
66,Awesome card. Can run everything smoothly,5,25,6
67,I do recommend it if it is what you are needing.,5,24,6
68,"Great card, can run anything.",5,23,6
69,Outdated tech; overpriced.,1,22,6
70,"Great Card, I love it. Better then every card on the Market besides the Titan and 3080",5,21,6
71,"A super good card. It was delivered to me two days ago. It's exactly as I expected. Perfect. The price (even at a discount) is not low, but if you can afford to buy it, you are not disappointed with the performance in games.",5,20,6
72,Beautiful. Too bad it only lasted 2 weeks before it died. Spent 1 hour at the Apple store for them to not have a replacement. Apple also refused to ship the new one to my house 5 hours from the nearest Apple store. I’ll be returning it to Amazon.,1,11,8
73,"It's an iPad that replaced my 2nd gen iPad that wouldn't do all my apps anymore. I like the extra storage. Definitely faster than old iPad when it comes to apps I use for work. Battery life, not so great.",5,12,8
74,The device display is black within one week of getting it now I have to contact apple and I didn’t like it.,1,13,8
75,"This is a great tablet. It’s fast and the battery lasts a long time. My only issue is a small one, and that’s that the bezels are so narrow that I find my fingers accidentally touching the screen and causing some unwanted action.",5,14,8
76,"Best service ever. iPad Air is the best tablet I could ever buy. This iPad is faster than any other iPad, I’m loving it.",5,15,8
77,This is my first iPad since the first one... And wow has Apple stepped up their game let me tell you! I’ve used every single Android tablet out there and this one beats them all hands down.,4,16,8
78,"I am a graduate student so I ended up purchasing the 256 gb model and I am so glad I did. I needed a tablet for easy note taking and e-textbooks but I didn’t want to spend $1,000+ on an iPad Pro.",5,17,8
79,Very disappointing. I’ll be looking elsewhere the next time I need to buy a tablet.,1,18,8
122,"HDD bad, 5400rpm HDD is extremely slow by the value could be a HDD of 7200rpm",4,9,10
80,"Similar to many others, my screen went blue after just a short period of time (what some call “the blue screen of death”) and I couldn’t even restart it.",3,19,8
81,"I highly recommend it for travel, reading and light computer work.",5,20,8
82,The iPad Air has problems with the touchscreen locking up. Do not buy it!,2,21,8
83,"Battery life is good; it is small, although I prefer the ipad mini to be honest. Same iterative design from Apple; what we are used to, after all, since 2012.",4,22,8
84,Seems like a waste of money so far.,1,23,8
85,"I bought this as an upgrade to an iPad I bought about 8 years ago. I really like the new model. For me, the Air was the perfect compromise. It's super fast for my purposes but not as expensive as the Pro line. ",5,24,8
86,"I’m glad I purchased the Air over the normal iPad. I feel like this is the best bang for your buck. It’s also incredibly pleasant to hold, which I didn’t expect.",5,25,8
87,"I purchased this in hopes that I could replace my 2012 Macbook Air. This iPad air has so many issues, I do not know where to start.",1,27,8
88,This iPad definitely deserves five stars.,5,28,8
89,"My biggest objection is despite the slightly larger screen, Apple only uses about 95% of it. Why say this is a 10.25 screen when it seems to use the same space as my 9.7 inch IPad?",4,29,8
90,This is a cautionary note. I ordered iPad Air with WiFi & Cellular. The product description does not mention cellular carriers nor does the purchase process ask.,3,30,8
91,"IPads have come a long ways since I started using my Gen 4 iPad a few years ago. This iPad Air is smooth, quick and probably has more features than I’ll ever use for years to come.",5,31,8
92,Screen blinks black on Facebook. Crashes when I’m online. Upgraded from iPad three but it feels like a downgrade.,1,33,8
